Name,Tags
command > file,
command < file,输入重定向，将文件内容作为命令的参数
command >> file,
n > file,将文件描述符为n的文件重定向到file
n >>file,"文件描述符：
0 标准输入
1 标准输出
2 标准错误"
n >& m,将输出文件m与n合并
n <& m,将输入文件m与n合并
"command << tag
armand
hejixiong
hejixin
joker
tag",将开始标记tag 与结束标记tag之间的内容作为输入重定向到command
command > /dev/null,/dev/null文件中没有内容但通过重定向可用来起到禁止输出的效果
,
